Kode,Nama Perusahaan,Tanggal Pencatatan,Saham,Papan Pencatatan
PRAY,Famon Awal Bros Sedaya Tbk.,08 Nov 2022,13.959.422.300,Pengembangan
CBUT,Citra Borneo Utama Tbk.,08 Nov 2022,3.125.000.000,Pengembangan
BELI,Global Digital Niaga Tbk.,08 Nov 2022,135.842.883.189,Ekonomi Baru
MKTR,Menthobi Karyatama Raya Tbk.,08 Nov 2022,12.060.428.584,Utama
OMED,Jayamas Medica Industri Tbk.,08 Nov 2022,27.058.850.000,Utama
BSBK,Wulandari Bangun Laksana Tbk.,08 Nov 2022,25.091.882.375,Pengembangan
PDPP,Primadaya Plastisindo Tbk.,09 Nov 2022,3.061.341.438,Pengembangan
KDTN,Puri Sentul Permai Tbk.,09 Nov 2022,1.250.023.298,Pengembangan
ZATA,Bersama Zatta Jaya Tbk.,10 Nov 2022,8.496.000.000,Pengembangan
NINE,Techno9 Indonesia Tbk.,05 Des 2022,2.157.000.000,Pemantauan Khusus
MMIX,Multi Medika Internasional Tbk,06 Des 2022,4.800.425.380,Pengembangan
PADA,Personel Alih Daya Tbk.,08 Des 2022,3.150.000.000,Pengembangan
ISAP,Isra Presisi Indonesia Tbk.,09 Des 2022,4.020.224.713,Akselerasi
VTNY,Venteny Fortuna International ,15 Des 2022,6.265.193.445,Pengembangan
SOUL,Mitra Tirta Buwana Tbk.,06 Jan 2023,1.082.526.223,Akselerasi
ELIT,Data Sinergitama Jaya Tbk.,06 Jan 2023,2.031.643.057,Pengembangan
BEER,Jobubu Jarum Minahasa Tbk.,06 Jan 2023,4.000.000.000,Pengembangan
CBPE,Citra Buana Prasida Tbk.,06 Jan 2023,1.356.250.000,Pengembangan
SUNI,Sunindo Pratama Tbk.,09 Jan 2023,2.500.000.000,Utama
CBRE,Cakra Buana Resources Energi T,09 Jan 2023,4.538.067.441,Pengembangan
WINE,Hatten Bali Tbk.,10 Jan 2023,2.710.000.000,Pengembangan
BMBL,Lavender Bina Cendikia Tbk.,11 Jan 2023,1.030.080.995,Akselerasi
PEVE,Penta Valent Tbk.,24 Jan 2023,1.765.625.000,Pengembangan
LAJU,Jasa Berdikari Logistics Tbk.,27 Jan 2023,2.149.942.974,Pengembangan
FWCT,Wijaya Cahaya Timber Tbk.,01 Feb 2023,1.963.000.000,Pengembangan
NAYZ,Hassana Boga Sejahtera Tbk.,06 Feb 2023,2.550.011.472,Akselerasi
IRSX,Folago Global Nusantara Tbk.,07 Feb 2023,6.195.047.377,Pemantauan Khusus
PACK,Abadi Nusantara Hijau Investam,08 Feb 2023,1.597.398.988,Akselerasi
